left wheel speed,right wheel speed,gyro x,gyro y,gyro z
0.0,0.0,0.02684774249792099,-0.9504997730255127,0.8369987607002258
0.0,0.0,-0.5028703212738037,-0.2840287387371063,1.669657588005066
0.0,0.0,-0.726357638835907,-0.07703692466020584,1.7430737018585205
0.0,0.0,-1.0573316812515259,-0.18345944583415985,1.350389003753662
0.0,0.0,-0.017317604273557663,0.48833268880844116,0.39989855885505676
0.0,0.0,-0.01864788308739662,-0.0028072227723896503,-0.012642478570342064
0.0,0.0,0.02498535066843033,0.013688268139958382,-0.03563399985432625
0.0,0.0,-0.004812957253307104,0.0025139034260064363,0.007736369501799345
0.0,0.0,0.0002421126700937748,0.0003854529932141304,-0.0011467186268419027
0.0,0.0,0.0015723942779004574,0.004908410366624594,0.0006821524584665895
0.0,0.0,0.008223801851272583,0.008899254724383354,0.009042706340551376
0.0,0.0,0.006627464201301336,0.0011836220510303974,0.001465954352170229
0.0,0.0,-0.0018863375298678875,-0.0038714478723704815,-0.0003629166749306023
0.0,0.0,0.0018384505528956652,0.017679112032055855,-0.011597409844398499
0.0,0.0,-0.005877181887626648,0.007568973116576672,-0.008723469451069832
0.0,0.0,0.032967038452625275,-0.006532011087983847,0.01374551746994257
0.0,0.0,-0.16072195768356323,0.04109206795692444,0.30166205763816833
0.0,0.0,0.048398301005363464,-0.058945100754499435,-0.010291073471307755
0.0,0.0,-0.013858870603144169,0.01182587444782257,0.0032948250882327557
0.0,0.0,0.053985483944416046,-0.021165108308196068,0.022367335855960846
0.0,0.0,-0.0005560561548918486,0.0517343208193779,-0.0019305204041302204
0.0,0.0,-0.04658379778265953,0.1323493868112564,-0.023093171417713165
-4.0,0.0,0.10905914008617401,0.14964304864406586,0.027070147916674614
-4.0,-14.0,-0.23681405186653137,-0.0783672109246254,0.44170132279396057
-44.0,36.0,0.4349781274795532,-0.2095329612493515,-0.6454318165779114
55.0,63.0,0.09495815634727478,0.19673500955104828,-0.14797893166542053
55.0,64.0,-0.02024422213435173,0.08951431512832642,0.03020535781979561
64.0,-72.0,0.03908633068203926,0.09749601036310196,0.08245881646871567
24.0,-66.0,-0.10644646733999252,0.06902798265218735,0.2603818476200104
70.0,-45.0,-0.09420787543058395,-0.0788993239402771,0.21936286985874176
-55.0,68.0,0.15216025710105896,-0.07863326370716095,-0.23524220287799835
76.0,-51.0,-0.1647128015756607,-0.03952299430966377,0.31002262234687805
-48.0,88.0,0.055581822991371155,0.026192914694547653,-0.13805076479911804
76.0,-54.0,-0.32035571336746216,-0.06373411417007446,0.5621455907821655
54.0,-84.0,0.09070125222206116,-0.09805537760257721,0.007213834207504988
23.0,46.0,0.046801965683698654,0.016348831355571747,0.1535235047340393
55.0,75.0,-0.1455567479133606,0.04694530740380287,0.08690035343170166
66.0,77.0,-0.16870364546775818,0.03896361589431763,0.1399376094341278
-42.0,62.0,-0.06041872501373291,-0.009458629414439201,0.1425503045320511
-70.0,-45.0,-0.10006111860275269,-0.09167002141475677,0.22902975976467133
-19.0,-36.0,-0.03940027579665184,-0.04244961217045784,0.28807616233825684
-33.0,-48.0,-0.10511618107557297,-0.08954157680273056,0.24575085937976837
-65.0,-45.0,-0.05190492421388626,-0.14195466041564941,0.12321650981903076
-48.0,-49.0,-0.06973069906234741,-0.08608284592628479,0.09160317480564117
-46.0,-49.0,-0.05296915024518967,-0.05814693495631218,0.18592067062854767
-54.0,55.0,0.017003659158945084,-0.0871470645070076,0.19140727818012238
-44.0,62.0,0.008755914866924286,0.017413057386875153,-0.029363585636019707
-46.0,43.0,0.08511406928300858,0.06477107852697372,-0.14928527176380157
-41.0,72.0,0.06116900593042374,0.05386276915669441,-0.2049352079629898
-10.0,44.0,0.05664604902267456,0.09749601036310196,-0.08266210556030273
4.0,-12.0,0.006361407693475485,0.005440522916615009,-0.06724734604358673
4.0,-12.0,-0.0034826756455004215,-0.008926518261432648,-0.03093118965625763
0.0,-4.0,-0.006143238395452499,-0.7581411004066467,-0.2002324014902115
9.0,-15.0,-0.05163886770606041,-1.0782067775726318,0.03151169419288635
33.0,-38.0,-0.1011253371834755,-0.03340369835495949,0.05398068204522133
35.0,-55.0,0.02684774249792099,-0.05282580852508545,-0.1367444396018982
37.0,-50.0,0.0805911123752594,-0.0009448286145925522,-0.05758045241236687
35.0,49.0,0.00104028161149472,-0.07464241981506348,-0.09128393232822418
-18.0,-70.0,0.12076561897993088,-0.09858749061822891,-0.34967729449272156
-46.0,-48.0,-0.035143375396728516,-0.04271566867828369,-0.09285153448581696
-51.0,-49.0,0.05132492259144783,-0.08634889870882034,-0.2901083528995514
