left wheel speed,right wheel speed,gyro x,gyro y,gyro z,pose x,pose y,pose z,q0,q1,q2,q3,angle_z,origin_id,is_accurate,wheels: up key,wheels: down key,wheels: left key,wheels: right key,head: up key,head: down key,stop,timestamp
0.0,0.0,0.000765256816521287,0.00151857640594244,9.649821004131809e-05,0.0,0.0,0.0,0.9999368786811829,0.0,0.0,-0.011233719065785408,-0.022467910236130657,19,True,0,0,0,0,0,0,0,14:31:07.472054
0.0,0.0,0.0007607756415382028,-0.0011443309485912323,0.0006202532676979899,0.0,0.0,0.0,0.9999368190765381,0.0,0.0,-0.011239917948842049,-0.022480309010753704,19,True,0,0,0,1,0,0,0,14:31:07.591701
0.0,0.0,-0.0005719655891880393,-0.0008759945631027222,0.000616895267739892,0.0,0.0,0.0,0.9999369978904724,0.0,0.0,-0.011223050765693188,-0.02244657227809456,19,True,0,0,0,1,0,0,0,14:31:07.705132
0.0,0.0,-0.0008400670485571027,-7.713865488767624e-05,9.21528844628483e-05,0.0,0.0,0.0,0.9999372363090515,0.0,0.0,-0.011203590780496597,-0.022407650313815648,19,True,0,0,0,1,0,0,0,14:31:07.811615
22.0,-20.0,-0.009619925171136856,0.020409196615219116,-0.3941601812839508,0.023532867431640625,-0.9673250913619995,0.0,0.9993751645088196,0.0,0.0,-0.03534584864974022,-0.07070642682180793,19,True,0,0,0,1,0,0,0,14:31:07.918375
27.0,-27.0,0.010068241506814957,-0.044508542865514755,-0.5882817506790161,-0.03194618225097656,-2.1327717304229736,0.0,0.9979241490364075,0.0,0.0,-0.0644005686044693,-0.1288903387281234,19,True,0,0,0,1,0,0,0,14:31:08.025337
31.0,-30.0,-0.05405132845044136,-0.03785713389515877,-0.6125795841217041,-0.32251930236816406,-3.5144920349121094,0.0,0.9950340390205383,0.0,0.0,-0.09953533113002777,-0.19940084669045038,19,True,0,0,0,1,0,0,0,14:31:08.136218
33.0,-31.0,-0.04979442432522774,-0.006462490186095238,-0.6906985640525818,-0.3438282012939453,-3.908267021179199,0.0,0.9940168857574463,0.0,0.0,-0.10922661423683167,-0.2188899539416354,19,True,0,0,0,1,0,0,0,14:31:08.243268
33.0,-33.0,-0.037289779633283615,0.014289901591837406,-0.770646333694458,-0.8578147888183594,-5.977080821990967,0.0,0.9867843985557556,0.0,0.0,-0.16203880310058594,-0.3255128276420072,19,True,0,0,0,0,0,0,0,14:31:08.350791
36.0,-34.0,0.057160209864377975,0.04089553281664848,-0.7918090224266052,-1.6481609344482422,-7.647825241088867,0.0,0.978269636631012,0.0,0.0,-0.2073366492986679,-0.41770331110625214,19,True,0,0,0,0,0,0,0,14:31:08.458025
0.0,0.0,0.004747115075588226,0.005510043352842331,0.029876623302698135,-2.0834484100341797,-8.697982788085938,0.0,0.9702075123786926,0.0,0.0,-0.24227537214756012,-0.48942081321717334,19,True,0,0,0,1,0,0,0,14:31:08.565981
0.0,0.0,-0.0005740107735618949,-0.0008753077127039433,-0.0038268566131591797,-2.0834484100341797,-8.697982788085938,0.0,0.970287561416626,0.0,0.0,-0.24195462465286255,-0.4887596511481656,19,True,0,0,0,1,0,0,0,14:31:08.677529
0.0,0.0,0.0010223269928246737,-0.0008753077127039433,-0.00016911439888644964,-2.0834484100341797,-8.697982788085938,0.0,0.9702804088592529,0.0,0.0,-0.24198338389396667,-0.48881893949100774,19,True,0,0,0,1,0,0,0,14:31:08.789344
20.0,-19.0,0.006875565741211176,0.0001889173872768879,-0.4247284531593323,-2.078716278076172,-9.088203430175781,0.0,0.9677721858024597,0.0,0.0,-0.25182726979255676,-0.509135819677308,19,True,0,0,0,0,0,0,0,14:31:08.899196
22.0,-25.0,-0.0029685175977647305,0.0174825768917799,-0.5294966101646423,-2.612926483154297,-10.103068351745605,0.0,0.9601649045944214,0.0,0.0,-0.2794339954853058,-0.5664091440998411,19,True,0,0,0,0,0,0,0,14:31:09.007641
15.0,-11.0,-0.016005277633666992,0.0174825768917799,0.03719210997223854,-2.9398746490478516,-10.382060050964355,0.0,0.9557399749755859,0.0,0.0,-0.29421266913414,-0.59726324294969,19,True,1,0,0,0,0,0,0,14:31:09.115667
15.0,-11.0,-0.016005277633666992,0.0174825768917799,0.03719210997223854,-2.9398746490478516,-10.382060050964355,0.0,0.9557399749755859,0.0,0.0,-0.29421266913414,-0.59726324294969,19,True,1,0,0,0,0,0,0,14:31:09.223721
0.0,0.0,-0.0003079544985666871,0.0001889173872768879,0.0003534201823640615,-2.9398746490478516,-10.382060050964355,0.0,0.9557881355285645,0.0,0.0,-0.29405611753463745,-0.5969356396024873,19,True,1,0,0,0,0,0,0,14:31:09.332294
39.0,44.0,0.024169225245714188,-0.008856996893882751,0.06175123527646065,-1.3663368225097656,-11.418925285339355,0.0,0.9560765027999878,0.0,0.0,-0.29311731457710266,-0.5949714978711964,19,True,1,0,0,0,0,0,0,14:31:09.439231
91.0,93.0,-0.02451907843351364,-0.10703177005052567,0.0037498946767300367,6.200565338134766,-16.435394287109375,0.0,0.9570234417915344,0.0,0.0,-0.290010541677475,-0.5884757011647223,19,True,1,0,0,0,0,0,0,14:31:09.545420
97.0,97.0,-0.1394554078578949,0.10421693325042725,-0.03230498731136322,15.8447904586792,-22.778940200805664,0.0,0.9578723907470703,0.0,0.0,-0.2871941924095154,-0.5825926812301528,19,True,1,0,0,0,0,0,0,14:31:09.651628
98.0,101.0,0.08616034686565399,0.08772144466638565,0.0024435583036392927,25.529375076293945,-29.157934188842773,0.0,0.9577470421791077,0.0,0.0,-0.28761181235313416,-0.5834646948744662,19,True,1,0,0,1,0,0,0,14:31:09.762913
99.0,97.0,0.24978496134281158,-0.15199530124664307,0.02203860506415367,35.442832946777344,-35.74477005004883,0.0,0.9571452140808105,0.0,0.0,-0.28960832953453064,-0.5876351971882833,19,True,1,0,0,0,0,0,0,14:31:09.873435
120.0,91.0,-0.38449326157569885,0.09064806252717972,-0.2836441099643707,40.41301727294922,-39.26398468017578,0.0,0.9558842778205872,0.0,0.0,-0.2937435209751129,-0.5962815721710607,19,True,1,0,0,0,0,0,0,14:31:09.980609
122.0,86.0,-0.0955561101436615,-0.004600095562636852,-0.48090091347694397,50.347923278808594,-47.66106033325195,0.0,0.9476091265678406,0.0,0.0,-0.3194321393966675,-0.650260327326039,19,True,1,0,0,0,0,0,0,14:31:10.086866
103.0,99.0,-0.12056539952754974,-0.017902910709381104,-0.046413421630859375,59.711669921875,-55.42943572998047,0.0,0.9440668821334839,0.0,0.0,-0.3297540247440338,-0.6720860280644952,19,True,1,0,0,0,0,0,0,14:31:10.193191
98.0,96.0,0.04172894358634949,0.07495073974132538,-0.07828803360462189,68.97178649902344,-62.820762634277344,0.0,0.9436084032058716,0.0,0.0,-0.33106377720832825,-0.6748614175274941,19,True,1,0,0,1,0,0,0,14:31:10.300302
102.0,97.0,-0.021858515217900276,0.08718933165073395,-0.06104439124464989,73.61404418945312,-66.54484558105469,0.0,0.94334876537323,0.0,0.0,-0.33180275559425354,-0.6764278925537309,19,True,1,0,0,1,0,0,0,14:31:10.407428
116.0,89.0,-0.1993180811405182,-0.14720627665519714,-0.175479456782341,82.89591979980469,-74.10404968261719,0.0,0.9426795840263367,0.0,0.0,-0.33369919657707214,-0.6804499720929257,19,True,1,0,0,0,0,0,0,14:31:10.514473
133.0,66.0,-0.05697794631123543,-0.12751811742782593,-0.8678377866744995,91.62077331542969,-83.17401123046875,0.0,0.9314458966255188,0.0,0.0,-0.36387982964515686,-0.7448598080574216,19,True,1,0,0,0,0,0,0,14:31:10.621349
