left wheel speed,right wheel speed,gyro x,gyro y,gyro z,pose x,pose y,pose z,q0,q1,q2,q3,angle_z,origin_id,is_accurate,wheels: up key,wheels: down key,wheels: left key,wheels: right key,head: up key,head: down key,stop,timestamp
0.0,0.0,0.00036422559060156345,0.0017123431898653507,-0.0003324489516671747,380.724365234375,52.422645568847656,0.0,0.997502326965332,0.0,0.0,0.07063328474760056,0.14138429530507918,5,True,0,0,0,0,0,0,0,14:26:35.890176
0.0,0.0,0.00036384817212820053,0.0017117643728852272,-0.0008488091989420354,380.724365234375,52.422645568847656,0.0,0.9975045323371887,0.0,0.0,0.07060252130031586,0.14132261826410347,5,True,0,0,0,0,0,0,0,14:26:35.997854
0.0,0.0,-0.00016845227219164371,-0.00015237927436828613,-0.0008454268099740148,380.724365234375,52.422645568847656,0.0,0.9975057244300842,0.0,0.0,0.0705856904387474,0.14128887248334804,5,True,0,0,0,0,0,0,0,14:26:36.104758
0.0,0.0,0.0006314631318673491,0.00011590076610445976,-0.0005818582721985877,380.724365234375,52.422645568847656,0.0,0.9975064992904663,0.0,0.0,0.07057427614927292,0.14126598225035336,5,True,0,0,0,0,0,0,0,14:26:36.211945
0.0,0.0,-0.00016881804913282394,-0.0014815484173595905,-0.0003136545419692993,380.724365234375,52.422645568847656,0.0,0.9975089430809021,0.0,0.0,0.07053970545530319,0.14119666790547886,5,True,0,0,0,0,0,0,0,14:26:36.318960
0.0,0.0,-0.0004352414980530739,0.0014439458027482033,-0.0005736444145441055,380.724365234375,52.422645568847656,0.0,0.9975094199180603,0.0,0.0,0.07053358107805252,0.14118439467824653,5,True,0,0,0,0,0,0,0,14:26:36.425529
0.0,0.0,0.00010114279575645924,0.0009059756994247437,-0.0010912885190919042,380.724365234375,52.422645568847656,0.0,0.9975111484527588,0.0,0.0,0.07050914317369461,0.14113539699464275,5,True,1,0,0,0,0,0,0,14:26:36.533193
0.0,0.0,-0.0006966781802475452,-0.0004303818568587303,-4.208210521028377e-05,380.724365234375,52.422645568847656,0.0,0.9975126385688782,0.0,0.0,0.0704876184463501,0.1410922358159528,5,True,1,0,0,0,0,0,0,14:26:36.640402
0.0,0.0,-0.00016456563025712967,-0.00016432534903287888,0.0012642543297261,380.7923583984375,52.432350158691406,0.0,0.9975121021270752,0.0,0.0,0.07049538195133209,0.14110780324807187,5,True,1,0,0,0,0,0,0,14:26:36.751708
71.0,70.0,-0.009476536884903908,-0.050981078296899796,0.026345914229750633,385.3769836425781,53.08628845214844,0.0,0.9975227117538452,0.0,0.0,0.07034501433372498,0.1408063187689088,5,True,1,0,0,0,0,0,0,14:26:36.863064
98.0,100.0,0.12461584061384201,-0.02384333685040474,0.0033543927129358053,396.30010986328125,54.6334228515625,0.0,0.9975799918174744,0.0,0.0,0.0695280209183693,0.1391683214719366,5,True,1,0,0,0,0,0,0,14:26:36.969570
95.0,96.0,-0.04645836353302002,-0.05683432146906853,0.07598669826984406,407.9153747558594,56.243621826171875,0.0,0.9975161552429199,0.0,0.0,0.07043836265802383,0.14099348397445857,5,True,1,0,0,0,0,0,0,14:26:37.076764
97.0,102.0,-0.08024751394987106,-0.22365161776542664,0.02530084364116192,419.69659423828125,57.93425369262695,0.0,0.9974786639213562,0.0,0.0,0.07096674293279648,0.14205289021026304,5,True,1,0,0,0,0,0,0,14:26:37.183797
99.0,102.0,0.04878979176282883,0.1054600328207016,-0.0010871513513848186,431.60479736328125,59.70524978637695,0.0,0.9973157644271851,0.0,0.0,0.07322091609239578,0.14657300470502188,5,True,1,0,0,0,0,0,0,14:26:37.294378
98.0,97.0,-0.011338930577039719,-0.021714886650443077,-0.02486247569322586,437.4312438964844,60.56724166870117,0.0,0.9973272085189819,0.0,0.0,0.07306458055973053,0.1462594907914408,5,True,1,0,0,0,0,0,0,14:26:37.401222
101.0,100.0,-0.3263495862483978,0.12381790578365326,-0.12754052877426147,451.8270568847656,62.620574951171875,0.0,0.9976075291633606,0.0,0.0,0.06913215667009354,0.138374686842142,5,True,1,0,0,0,0,0,0,14:26:37.508354
99.0,100.0,-0.0959448367357254,-0.14303655922412872,0.022426903247833252,460.77587890625,63.852481842041016,0.0,0.9977190494537354,0.0,0.0,0.06750372797250748,0.13511020305847485,5,True,1,0,0,0,0,0,0,14:26:37.615303
102.0,96.0,0.009413461200892925,0.0703405886888504,-0.007096299435943365,463.7542724609375,64.2589111328125,0.0,0.9976881742477417,0.0,0.0,0.0679580345749855,0.13602090306193623,5,True,1,0,0,0,0,0,0,14:26:37.722115
100.0,103.0,0.07778993248939514,-0.010274464264512062,-0.017546990886330605,472.63238525390625,65.4444351196289,0.0,0.9977861046791077,0.0,0.0,0.06650485843420029,0.1331079610123795,5,True,1,0,0,0,0,0,0,14:26:37.831755
102.0,103.0,0.03415669500827789,0.15335015952587128,0.029742388054728508,493.8851013183594,68.26130676269531,0.0,0.9977990388870239,0.0,0.0,0.0663105919957161,0.13271856921803707,5,True,1,0,0,0,0,0,0,14:26:37.939040
94.0,103.0,0.10572583973407745,-0.017457984387874603,0.023210706189274788,506.0551452636719,69.92535400390625,0.0,0.9976757168769836,0.0,0.0,0.06814119219779968,0.13638807419885862,5,True,1,0,0,0,0,0,0,14:26:38.046448
98.0,96.0,-0.06375202536582947,0.0179275032132864,-0.037142034620046616,514.8759765625,71.1352767944336,0.0,0.9976847171783447,0.0,0.0,0.06800896674394608,0.13612300543465158,5,True,1,0,0,0,0,0,0,14:26:38.153916
98.0,100.0,0.026441065594553947,-0.008944183588027954,0.01066987682133913,529.3474731445312,73.08753204345703,0.0,0.9977652430534363,0.0,0.0,0.06681711971759796,0.13373387587333005,5,True,1,0,0,0,0,0,0,14:26:38.261326
101.0,100.0,-0.05550427734851837,0.010477926582098007,-0.008925169706344604,538.1668090820312,74.25160217285156,0.0,0.9978345632553101,0.0,0.0,0.06577377021312714,0.13164257576503866,5,True,1,0,0,0,0,0,0,14:26:38.371885
99.0,100.0,0.13472597301006317,0.00568891316652298,0.015895221382379532,546.9314575195312,75.42250061035156,0.0,0.9978124499320984,0.0,0.0,0.06610819697380066,0.1323128865328705,5,True,1,0,0,0,0,0,0,14:26:38.480384
101.0,97.0,0.12275344878435135,-0.12920163571834564,-0.02512374334037304,558.9248046875,77.02742767333984,0.0,0.9977836608886719,0.0,0.0,0.0665416419506073,0.1331816925018925,5,True,1,0,0,0,0,0,0,14:26:38.587582
100.0,103.0,0.16159766912460327,0.005954969674348831,-0.019637130200862885,567.9332275390625,78.21749114990234,0.0,0.9978310465812683,0.0,0.0,0.06582733243703842,0.13174993488844955,5,True,0,0,0,0,0,0,0,14:26:38.694630
100.0,100.0,0.035753034055233,-0.024641504511237144,-0.10794547200202942,582.7881469726562,80.18014526367188,0.0,0.9977803826332092,0.0,0.0,0.06659073382616043,0.13328009409520977,5,True,0,0,0,0,0,0,0,14:26:38.801430
61.0,64.0,0.03176219016313553,0.08869847655296326,0.028174784034490585,592.9111328125,81.55331420898438,0.0,0.9977547526359558,0.0,0.0,0.06697331368923187,0.13404696270282554,5,True,0,0,0,0,0,0,0,14:26:38.909972
28.0,24.0,0.007285011000931263,0.13632255792617798,-0.02486247569322586,595.267333984375,81.89366149902344,0.0,0.9977061152458191,0.0,0.0,0.0676940530538559,0.13549172071083787,5,True,0,0,0,0,0,0,0,14:26:39.018686
0.0,16.0,0.0027620536275207996,0.006221026182174683,0.00021918518177699298,595.5175170898438,81.92301177978516,0.0,0.9977157115936279,0.0,0.0,0.06755270063877106,0.1352083693650712,5,True,0,0,0,0,0,0,1,14:26:39.125854
