left wheel speed,right wheel speed,gyro x,gyro y,gyro z,pose x,pose y,pose z,q0,q1,q2,q3,angle_z,origin_id,is_accurate,wheels: up key,wheels: down key,wheels: left key,wheels: right key,head: up key,head: down key,stop,timestamp
0.0,0.0,0.000205599470064044,0.00023926421999931335,0.0001435765589121729,-222.30224609375,83.64749908447266,0.0,0.9786745309829712,0.0,0.0,-0.20541712641716003,-0.4137798141918915,99,True,0,0,0,0,0,0,0,14:45:34.868977
0.0,0.0,0.0015367710730060935,-0.0002864510752260685,0.00013985343684908003,-222.30224609375,83.64749908447266,0.0,0.9786783456802368,0.0,0.0,-0.2053987979888916,-0.4137423465617849,99,True,0,0,0,0,0,0,0,14:45:34.975794
0.0,0.0,0.00047233118675649166,0.0007760236039757729,-0.00012625551607925445,-222.30224609375,83.64749908447266,0.0,0.978683352470398,0.0,0.0,-0.20537503063678741,-0.4136937835107229,99,True,0,0,0,0,0,0,0,14:45:35.081818
0.0,0.0,-0.00032720225863158703,0.00024258345365524292,0.0003998985339421779,-222.30224609375,83.64749908447266,0.0,0.9786796569824219,0.0,0.0,-0.20539267361164093,-0.41372984073292535,99,True,0,0,0,0,0,0,0,14:45:35.189382
0.0,0.0,-5.540461279451847e-05,0.0005066595040261745,-0.00038880386273376644,-222.30224609375,83.64749908447266,0.0,0.978684663772583,0.0,0.0,-0.20536884665489197,-0.4136811512933571,99,True,0,0,0,0,0,0,0,14:45:35.297174
0.0,0.0,0.00021210184786468744,0.00024051498621702194,-0.0006502388860099018,-222.30224609375,83.64749908447266,0.0,0.9786847829818726,0.0,0.0,-0.20536820590496063,-0.41367983614895043,99,True,0,0,0,0,0,0,0,14:45:35.403475
0.0,0.0,0.00021379906684160233,0.0010397699661552906,-0.001173707889392972,-222.30224609375,83.64749908447266,0.0,0.978685736656189,0.0,0.0,-0.20536372065544128,-0.4136706749811798,99,True,0,0,0,0,0,0,0,14:45:35.509631
0.0,0.0,0.0007424341747537255,-0.000285993330180645,-0.00012581799819599837,-222.30224609375,83.64749908447266,0.0,0.978682816028595,0.0,0.0,-0.20537762343883514,-0.41369908494345936,99,True,0,0,0,0,0,0,0,14:45:35.615512
0.0,0.0,-5.8583333157002926e-05,0.00024530524387955666,0.0003931674873456359,-222.30224609375,83.64749908447266,0.0,0.9786864519119263,0.0,0.0,-0.2053603082895279,-0.4136637013277546,99,True,0,0,0,0,0,0,0,14:45:35.721530
0.0,0.0,-0.0003269821172580123,0.0007783267647027969,-0.00013511105498764664,-222.30224609375,83.64749908447266,0.0,0.978692352771759,0.0,0.0,-0.20533224940299988,-0.41360636672748724,99,True,0,0,1,0,0,0,0,14:45:35.828430
0.0,0.0,0.00020400772336870432,0.00024274922907352448,0.0003883900062646717,-222.30224609375,83.64749908447266,0.0,0.9786913990974426,0.0,0.0,-0.20533673465251923,-0.41361552777746363,99,True,0,0,1,0,0,0,0,14:45:35.935144
-15.0,15.0,0.00871723797172308,0.008489864878356457,0.021289322525262833,-222.30111694335938,83.65006256103516,0.0,0.9787073135375977,0.0,0.0,-0.20526087284088135,-0.4134605024288625,99,True,0,0,1,0,0,0,0,14:45:36.041106
-13.0,12.0,-0.0442279689013958,-0.011730413883924484,0.2841241955757141,-222.19537353515625,83.89682006835938,0.0,0.9802608489990234,0.0,0.0,-0.19770850241184235,-0.3980394504582652,99,True,0,0,1,0,0,0,0,14:45:36.158650
-24.0,25.0,0.03745131939649582,0.0547836609184742,0.5226612091064453,-221.7304229736328,85.13935852050781,0.0,0.986463725566864,0.0,0.0,-0.1639796495437622,-0.3294471420669972,99,True,0,0,1,0,0,0,0,14:45:36.276349
-27.0,28.0,0.008451181463897228,-0.0016202745027840137,0.5655090808868408,-221.4592742919922,85.75415802001953,0.0,0.9890658855438232,0.0,0.0,-0.1474744975566864,-0.2960287312438233,99,True,0,0,1,0,0,0,0,14:45:36.382537
