left wheel speed,right wheel speed,gyro x,gyro y,gyro z,pose x,pose y,pose z,q0,q1,q2,q3,angle_z,origin_id,is_accurate,wheels: up key,wheels: down key,wheels: left key,wheels: right key,head: up key,head: down key,stop,timestamp
0.0,0.0,0.0004243843723088503,0.00040031131356954575,1.0264493539580144e-05,-0.060688018798828125,0.0015044212341308594,0.0,0.997571587562561,0.0,0.0,0.06964845955371857,0.1394097837119547,49,True,0,0,0,0,0,0,0,14:37:23.831004
0.0,0.0,0.000686401966959238,0.00014256825670599937,-0.0010379093000665307,-0.060688018798828125,0.0015044212341308594,0.0,0.9975705742835999,0.0,0.0,0.06966329365968704,0.13943952726791123,49,True,0,0,0,0,0,0,0,14:37:23.937257
0.0,0.0,-0.0006484417244791985,0.0017321882769465446,0.0005310530541464686,-0.060688018798828125,0.0015044212341308594,0.0,0.9975710511207581,0.0,0.0,0.06965663284063339,0.13942617480603717,49,True,0,0,0,1,0,0,0,14:37:24.044370
0.0,0.0,-0.00011502893175929785,-0.00039939815178513527,-0.00025845959316939116,-0.060688018798828125,0.0015044212341308594,0.0,0.9975690245628357,0.0,0.0,0.06968511641025543,0.1394832755711867,49,True,0,0,0,1,0,0,0,14:37:24.154291
0.0,0.0,-0.0009131977567449212,-0.00039939815178513527,-0.0005197268910706043,-0.060688018798828125,0.0015044212341308594,0.0,0.9975692629814148,0.0,0.0,0.06968184560537338,0.1394767193932099,49,True,0,0,0,1,0,0,0,14:37:24.260080
18.0,-16.0,0.010527223348617554,0.022481443360447884,-0.45460227131843567,-0.07147789001464844,-0.4515254497528076,0.0,0.9982905983924866,0.0,0.0,0.058445774018764496,0.11695820060335782,49,True,0,0,0,1,0,0,0,14:37:24.365945
25.0,-24.0,-0.04082164168357849,0.021417219191789627,-0.48804450035095215,0.04486846923828125,-1.750173807144165,0.0,0.9996953010559082,0.0,0.0,0.02468499168753624,0.049374999753320506,49,True,0,0,0,1,0,0,0,14:37:24.471737
27.0,-28.0,0.027022715657949448,0.0014629960060119629,-0.6032633781433105,0.06924819946289062,-2.751795768737793,0.0,0.9999999403953552,0.0,0.0,-0.00034120678901672363,-0.000682413590323766,49,True,0,0,0,1,0,0,0,14:37:24.577572
30.0,-30.0,0.0036097592674195766,0.04509622976183891,-0.6035246253013611,-0.005218505859375,-3.4710397720336914,0.0,0.9998321533203125,0.0,0.0,-0.018321920186281204,-0.03664589136590134,49,True,0,0,0,1,0,0,0,14:37:24.683515
33.0,-33.0,-0.008628830313682556,0.024609893560409546,-0.6764181852340698,-0.30713653564453125,-5.448362350463867,0.0,0.9976717233657837,0.0,0.0,-0.06819944828748703,-0.13650485631089335,49,True,0,0,0,1,0,0,0,14:37:24.789572
33.0,-34.0,-0.031243614852428436,0.040041159838438034,-0.7741321921348572,-0.6817512512207031,-7.162347793579102,0.0,0.993719220161438,0.0,0.0,-0.11190199106931686,-0.2242737087415482,49,True,0,0,0,1,0,0,0,14:37:24.895643
36.0,-36.0,0.025958489626646042,-0.11773022264242172,-0.7715194821357727,-1.1815147399902344,-8.961976051330566,0.0,0.987406313419342,0.0,0.0,-0.1582048386335373,-0.3177446591442852,49,True,0,0,0,1,0,0,0,14:37:25.001640
36.0,-38.0,0.07544495910406113,0.09378453344106674,-0.843106746673584,-1.7172698974609375,-10.401305198669434,0.0,0.9806022047996521,0.0,0.0,-0.19600851833820343,-0.3945716303459545,49,True,0,0,0,1,0,0,0,14:37:25.113170
39.0,-39.0,-0.11239079385995865,0.010774966329336166,-0.8885672688484192,-2.195018768310547,-11.320429801940918,0.0,0.9752111434936523,0.0,0.0,-0.22127647697925568,-0.4462464115694731,49,True,0,0,0,1,0,0,0,14:37:25.225550
40.0,-39.0,-0.06849150359630585,0.017426373437047005,-0.9024144411087036,-2.900308609008789,-12.783732414245605,0.0,0.9654277563095093,0.0,0.0,-0.26067084074020386,-0.5274340123930154,49,True,0,0,0,1,0,0,0,14:37:25.332429
41.0,-37.0,0.027820883318781853,0.10283045470714569,-0.9034594893455505,-4.689294815063477,-15.461653709411621,0.0,0.9413691163063049,0.0,0.0,-0.3373783230781555,-0.6882610672289353,49,True,0,0,0,1,0,0,0,14:37:25.438509
41.0,-38.0,-0.027784883975982666,0.07223397493362427,-0.870278537273407,-5.968880653381348,-17.132177352905273,0.0,0.9223765730857849,0.0,0.0,-0.3862919211387634,-0.7932161100542866,49,True,0,0,0,1,0,0,0,14:37:25.544498
38.0,-39.0,0.050701726227998734,-0.05121615156531334,-0.9149552583694458,-7.107314109802246,-18.259418487548828,0.0,0.9061574935913086,0.0,0.0,-0.42294037342071533,-0.8733754955619991,49,True,0,0,0,1,0,0,0,14:37:25.653833
41.0,-39.0,-0.017408687621355057,-0.015830663964152336,-0.9807946085929871,-7.9326019287109375,-18.990976333618164,0.0,0.8941748142242432,0.0,0.0,-0.4477180242538452,-0.9284233224096482,49,True,0,0,0,1,0,0,0,14:37:25.760535
43.0,-39.0,0.004940040875226259,0.13981227576732635,-0.9026756882667542,-9.931912422180176,-20.597251892089844,0.0,0.8638143539428711,0.0,0.0,-0.5038102269172668,-1.0560081212703343,49,True,0,0,0,0,0,0,0,14:37:25.867356
43.0,-39.0,-0.05917952582240105,0.01316947303712368,-0.9886325597763062,-11.875057220458984,-21.69377326965332,0.0,0.8344113826751709,0.0,0.0,-0.5511420965194702,-1.1674647216662286,49,True,0,0,0,0,0,0,0,14:37:25.974032
0.0,0.0,0.0025455341674387455,0.0006648269481956959,0.046508386731147766,-12.992137908935547,-22.332565307617188,0.0,0.8125174641609192,0.0,0.0,-0.5829368233680725,-1.2446769893538034,49,True,0,0,0,0,0,0,0,14:37:26.080072
0.0,0.0,-0.0014453105395659804,-0.0014636232517659664,2.807698137985426e-06,-12.992137908935547,-22.332565307617188,0.0,0.8126351833343506,0.0,0.0,-0.5827727317810059,-1.2442731160958214,49,True,1,0,0,0,0,0,0,14:37:26.193024
0.0,0.0,0.0006831400096416473,-0.00013334164395928383,2.807698137985426e-06,-12.992137908935547,-22.332565307617188,0.0,0.8126328587532043,0.0,0.0,-0.5827759504318237,-1.2442810315094877,49,True,1,0,0,0,0,0,0,14:37:26.312434
