left wheel speed,right wheel speed,gyro x,gyro y,gyro z,timestamp
0.0,0.0,-0.0003670216538012028,0.0006676218472421169,0.000540979381185025,16:30:05.869411
0.0,0.0,-0.0008961185812950134,-0.0006601759232580662,0.0010611350880935788,16:30:05.972654
0.0,0.0,-0.0006270760204643011,0.0014694598503410816,0.0010533229215070605,16:30:06.075712
0.0,0.0,0.00017164205200970173,-0.00012888852506875992,5.489610430231551e-06,16:30:06.180325
0.0,0.0,0.0004347655922174454,-0.00012286053970456123,-0.0010342050809413195,16:30:06.283293
0.0,0.0,-0.0006292574107646942,-0.00039130402728915215,0.00027555960696190596,16:30:06.386309
0.0,0.0,-0.0006292574107646942,0.0017371466383337975,1.4292324522102717e-05,16:30:06.489304
0.0,0.0,-0.004087989684194326,0.0017371466383337975,-0.008084993809461594,16:30:06.592355
23.0,21.0,-0.05251023918390274,-0.012097781524062157,-0.03055398166179657,16:30:06.695439
36.0,36.0,0.006022150162607431,0.014241792261600494,-0.018535684794187546,16:30:06.801039
47.0,48.0,0.024912148714065552,-0.09856608510017395,-0.013310340233147144,16:30:06.906268
63.0,60.0,0.03954524174332619,0.04270981624722481,-0.06190605089068413,16:30:07.009149
76.0,75.0,-0.04373038187623024,-0.008372992277145386,-0.015923012048006058,16:30:07.112037
86.0,87.0,-0.09374896436929703,0.00838855467736721,-0.03708565980195999,16:30:07.215070
96.0,96.0,0.008150599896907806,0.06346220523118973,-0.008868795819580555,16:30:07.318208
98.0,102.0,0.02304975315928459,0.14833417534828186,0.002626965055242181,16:30:07.421131
94.0,103.0,0.19385789334774017,-0.15603423118591309,0.0789170116186142,16:30:07.524268
107.0,127.0,-0.022179817780852318,0.06878333538770676,0.18002745509147644,16:30:07.628455
110.0,124.0,-0.09055628627538681,-0.04987777769565582,0.0770881399512291,16:30:07.731445
110.0,112.0,0.19279366731643677,-0.11027256399393082,0.05775436386466026,16:30:07.834527
103.0,120.0,0.06375636905431747,0.0685172751545906,0.18943306803703308,16:30:07.937632
101.0,128.0,-0.10173065215349197,-0.05120805650949478,0.2675520181655884,16:30:08.044608
96.0,145.0,-0.0011613701935857534,0.07969164103269577,0.4755207896232605,16:30:08.147656
83.0,149.0,0.10100425034761429,-0.015024399384856224,0.6832282543182373,16:30:08.250581
87.0,142.0,0.01586623303592205,-0.09696974605321884,0.6247043609619141,16:30:08.354172
94.0,131.0,-0.027500944212079048,-0.03923552483320236,0.3827708661556244,16:30:08.462359
101.0,122.0,0.05444439500570297,-0.002785810735076666,0.12777398526668549,16:30:08.565593
102.0,117.0,-0.054904744029045105,0.05069150775671005,0.17715349793434143,16:30:08.668510
13.0,35.0,0.016132289543747902,0.049361225217580795,0.29446256160736084,16:30:08.772261
13.0,0.0,-0.01739080436527729,-0.006244542542845011,0.1397922784090042,16:30:08.876628
13.0,0.0,-0.0008953139185905457,-0.00039130402728915215,-0.001292044180445373,16:30:08.980511
0.0,0.0,-9.714486077427864e-05,-0.0011894726194441319,0.0010593615006655455,16:30:09.084268
0.0,0.0,0.00043496768921613693,0.0017371466383337975,-0.0007695095264352858,16:30:09.188201
0.0,0.0,-0.0006292574107646942,-0.0019876412115991116,0.00027555960696190596,16:30:09.291844
0.0,0.0,-9.714486077427864e-05,0.0012050340883433819,0.001843163394369185,16:30:09.395525
22.0,23.0,-0.00728066498413682,-0.008639048784971237,-0.047275085002183914,16:30:09.499425
30.0,29.0,0.03874707594513893,0.024617988616228104,-0.025328634306788445,16:30:09.607404
46.0,48.0,0.025178205221891403,-0.016886794939637184,-0.021409625187516212,16:30:09.710504
